"Year","LAD11CD","City","Major","Value"
2008,"E09000009","Ealing","Fraud or Forgery",6
2008,"E09000009","Ealing","Other Notifiable Offences",39
2008,"E09000009","Ealing","Robbery",95
2008,"E09000009","Ealing","Sexual Offences",1
2008,"E09000009","Ealing","Theft and Handling",770
2008,"E09000009","Ealing","Violence Against the Person",523
2008,"E09000010","Enfield","Burglary",274
2008,"E09000010","Enfield","Criminal Damage",253
2008,"E09000010","Enfield","Drugs",167
2008,"E09000010","Enfield","Fraud or Forgery",7
2008,"E09000010","Enfield","Other Notifiable Offences",30
2008,"E09000010","Enfield","Robbery",97
2008,"E09000010","Enfield","Sexual Offences",1
2008,"E09000010","Enfield","Theft and Handling",554
2008,"E09000010","Enfield","Violence Against the Person",293
2008,"E09000011","Greenwich","Burglary",255
2008,"E09000011","Greenwich","Criminal Damage",270
2008,"E09000011","Greenwich","Drugs",125
2008,"E09000011","Greenwich","Fraud or Forgery",4
2008,"E09000011","Greenwich","Other Notifiable Offences",24
2008,"E09000011","Greenwich","Robbery",57
2008,"E09000011","Greenwich","Sexual Offences",2
2008,"E09000011","Greenwich","Theft and Handling",555
2008,"E09000011","Greenwich","Violence Against the Person",438
2008,"E09000012","Hackney","Burglary",168
2008,"E09000012","Hackney","Criminal Damage",166
2008,"E09000012","Hackney","Drugs",262
2008,"E09000012","Hackney","Fraud or Forgery",12
2008,"E09000012","Hackney","Other Notifiable Offences",14
2008,"E09000012","Hackney","Robbery",67
2008,"E09000012","Hackney","Sexual Offences",5
2008,"E09000012","Hackney","Theft and Handling",594
2008,"E09000012","Hackney","Violence Against the Person",480
2008,"E09000013","Hammersmith and Fulham","Burglary",203
2008,"E09000013","Hammersmith and Fulham","Criminal Damage",164
2008,"E09000013","Hammersmith and Fulham","Drugs",179
2008,"E09000013","Hammersmith and Fulham","Fraud or Forgery",10
2008,"E09000013","Hammersmith and Fulham","Other Notifiable Offences",10
2008,"E09000013","Hammersmith and Fulham","Robbery",53
2008,"E09000013","Hammersmith and Fulham","Sexual Offences",2
2008,"E09000013","Hammersmith and Fulham","Theft and Handling",735
2008,"E09000013","Hammersmith and Fulham","Violence Against the Person",322
2008,"E09000014","Haringey","Burglary",284
2008,"E09000014","Haringey","Criminal Damage",265
2008,"E09000014","Haringey","Drugs",143
2008,"E09000014","Haringey","Fraud or Forgery",43
2008,"E09000014","Haringey","Other Notifiable Offences",17
2008,"E09000014","Haringey","Robbery",96
2008,"E09000014","Haringey","Sexual Offences",5
2008,"E09000014","Haringey","Theft and Handling",795
2008,"E09000014","Haringey","Violence Against the Person",368
2008,"E09000015","Harrow","Burglary",155
2008,"E09000015","Harrow","Criminal Damage",121
2008,"E09000015","Harrow","Drugs",78
2008,"E09000015","Harrow","Fraud or Forgery",6
2008,"E09000015","Harrow","Other Notifiable Offences",16
2008,"E09000015","Harrow","Robbery",44
2008,"E09000015","Harrow","Sexual Offences",0
2008,"E09000015","Harrow","Theft and Handling",344
2008,"E09000015","Harrow","Violence Against the Person",249
2008,"E09000016","Havering","Burglary",172
2008,"E09000016","Havering","Criminal Damage",242
2008,"E09000016","Havering","Drugs",84
2008,"E09000016","Havering","Fraud or Forgery",19
2008,"E09000016","Havering","Other Notifiable Offences",21
2008,"E09000016","Havering","Robbery",26
2008,"E09000016","Havering","Sexual Offences",1
2008,"E09000016","Havering","Theft and Handling",496
2008,"E09000016","Havering","Violence Against the Person",235
2008,"E09000017","Hillingdon","Burglary",220
2008,"E09000017","Hillingdon","Criminal Damage",278
2008,"E09000017","Hillingdon","Drugs",119
2008,"E09000017","Hillingdon","Fraud or Forgery",24
2008,"E09000017","Hillingdon","Other Notifiable Offences",31
2008,"E09000017","Hillingdon","Robbery",100
2008,"E09000017","Hillingdon","Sexual Offences",3
2008,"E09000017","Hillingdon","Theft and Handling",725
2008,"E09000017","Hillingdon","Violence Against the Person",446
2008,"E09000018","Hounslow","Burglary",161
2008,"E09000018","Hounslow","Criminal Damage",212
2008,"E09000018","Hounslow","Drugs",148
2008,"E09000018","Hounslow","Fraud or Forgery",11
2008,"E09000018","Hounslow","Other Notifiable Offences",31
2008,"E09000018","Hounslow","Robbery",43
2008,"E09000018","Hounslow","Sexual Offences",4
2008,"E09000018","Hounslow","Theft and Handling",598
2008,"E09000018","Hounslow","Violence Against the Person",397
2008,"E09000019","Islington","Burglary",279
2008,"E09000019","Islington","Criminal Damage",190
2008,"E09000019","Islington","Drugs",170
2008,"E09000019","Islington","Fraud or Forgery",4
2008,"E09000019","Islington","Other Notifiable Offences",26
2008,"E09000019","Islington","Robbery",90
2008,"E09000019","Islington","Sexual Offences",3
2008,"E09000019","Islington","Theft and Handling",785
2008,"E09000019","Islington","Violence Against the Person",401
2008,"E09000020","Kensington and Chelsea","Burglary",149
2008,"E09000020","Kensington and Chelsea","Criminal Damage",116
2008,"E09000020","Kensington and Chelsea","Drugs",206
2008,"E09000020","Kensington and Chelsea","Fraud or Forgery",12
2008,"E09000020","Kensington and Chelsea","Other Notifiable Offences",16
2008,"E09000020","Kensington and Chelsea","Robbery",42
2008,"E09000020","Kensington and Chelsea","Sexual Offences",0
2008,"E09000020","Kensington and Chelsea","Theft and Handling",726
2008,"E09000020","Kensington and Chelsea","Violence Against the Person",239
2008,"E09000021","Kingston upon Thames","Burglary",76
2008,"E09000021","Kingston upon Thames","Criminal Damage",130
2008,"E09000021","Kingston upon Thames","Drugs",44
2008,"E09000021","Kingston upon Thames","Fraud or Forgery",1
2008,"E09000021","Kingston upon Thames","Other Notifiable Offences",7
2008,"E09000021","Kingston upon Thames","Robbery",24
2008,"E09000021","Kingston upon Thames","Sexual Offences",1
2008,"E09000021","Kingston upon Thames","Theft and Handling",394
2008,"E09000021","Kingston upon Thames","Violence Against the Person",171
2008,"E09000022","Lambeth","Burglary",250
2008,"E09000022","Lambeth","Criminal Damage",277
2008,"E09000022","Lambeth","Drugs",332
2008,"E09000022","Lambeth","Fraud or Forgery",9
2008,"E09000022","Lambeth","Other Notifiable Offences",35
2008,"E09000022","Lambeth","Robbery",162
2008,"E09000022","Lambeth","Sexual Offences",10
2008,"E09000022","Lambeth","Theft and Handling",860
2008,"E09000022","Lambeth","Violence Against the Person",552
2008,"E09000023","Lewisham","Burglary",226
2008,"E09000023","Lewisham","Criminal Damage",268
2008,"E09000023","Lewisham","Drugs",190
2008,"E09000023","Lewisham","Fraud or Forgery",26
2008,"E09000023","Lewisham","Other Notifiable Offences",29
2008,"E09000023","Lewisham","Robbery",95
2008,"E09000023","Lewisham","Sexual Offences",2
2008,"E09000023","Lewisham","Theft and Handling",644
2008,"E09000023","Lewisham","Violence Against the Person",604
2008,"E09000024","Merton","Burglary",135
2008,"E09000024","Merton","Criminal Damage",153
2008,"E09000024","Merton","Drugs",55
2008,"E09000024","Merton","Fraud or Forgery",14
2008,"E09000024","Merton","Other Notifiable Offences",22
2008,"E09000024","Merton","Robbery",47
2008,"E09000024","Merton","Sexual Offences",2
2008,"E09000024","Merton","Theft and Handling",305
2008,"E09000024","Merton","Violence Against the Person",276
2008,"E09000025","Newham","Burglary",220
2008,"E09000025","Newham","Criminal Damage",260
2008,"E09000025","Newham","Drugs",220
2008,"E09000025","Newham","Fraud or Forgery",29
2008,"E09000025","Newham","Other Notifiable Offences",42
2008,"E09000025","Newham","Robbery",124
2008,"E09000025","Newham","Sexual Offences",3
2008,"E09000025","Newham","Theft and Handling",918
2008,"E09000025","Newham","Violence Against the Person",481
2008,"E09000026","Redbridge","Burglary",246
2008,"E09000026","Redbridge","Criminal Damage",181
2008,"E09000026","Redbridge","Drugs",184
2008,"E09000026","Redbridge","Fraud or Forgery",31
2008,"E09000026","Redbridge","Other Notifiable Offences",12
2008,"E09000026","Redbridge","Robbery",83
2008,"E09000026","Redbridge","Sexual Offences",1
2008,"E09000026","Redbridge","Theft and Handling",641
2008,"E09000026","Redbridge","Violence Against the Person",277
2008,"E09000027","Richmond upon Thames","Burglary",116
2008,"E09000027","Richmond upon Thames","Criminal Damage",128
2008,"E09000027","Richmond upon Thames","Drugs",52
2008,"E09000027","Richmond upon Thames","Fraud or Forgery",3
2008,"E09000027","Richmond upon Thames","Other Notifiable Offences",19
2008,"E09000027","Richmond upon Thames","Robbery",9
2008,"E09000027","Richmond upon Thames","Sexual Offences",8
2008,"E09000027","Richmond upon Thames","Theft and Handling",324
2008,"E09000027","Richmond upon Thames","Violence Against the Person",136
2008,"E09000028","Southwark","Burglary",283
2008,"E09000028","Southwark","Criminal Damage",283
2008,"E09000028","Southwark","Drugs",296
2008,"E09000028","Southwark","Fraud or Forgery",12
2008,"E09000028","Southwark","Other Notifiable Offences",36
2008,"E09000028","Southwark","Robbery",152
2008,"E09000028","Southwark","Sexual Offences",3
2008,"E09000028","Southwark","Theft and Handling",1028
2008,"E09000028","Southwark","Violence Against the Person",607
2008,"E09000029","Sutton","Burglary",137
2008,"E09000029","Sutton","Criminal Damage",141
2008,"E09000029","Sutton","Drugs",19
2008,"E09000029","Sutton","Fraud or Forgery",3
2008,"E09000029","Sutton","Other Notifiable Offences",17
2008,"E09000029","Sutton","Robbery",20
2008,"E09000029","Sutton","Sexual Offences",0
2008,"E09000029","Sutton","Theft and Handling",388
2008,"E09000029","Sutton","Violence Against the Person",183
2008,"E09000030","Tower Hamlets","Burglary",184
2008,"E09000030","Tower Hamlets","Criminal Damage",222
2008,"E09000030","Tower Hamlets","Drugs",195
2008,"E09000030","Tower Hamlets","Fraud or Forgery",8
2008,"E09000030","Tower Hamlets","Other Notifiable Offences",34
2008,"E09000030","Tower Hamlets","Robbery",68
2008,"E09000030","Tower Hamlets","Sexual Offences",3
2008,"E09000030","Tower Hamlets","Theft and Handling",739
2008,"E09000030","Tower Hamlets","Violence Against the Person",488
2008,"E09000031","Waltham Forest","Burglary",298
2008,"E09000031","Waltham Forest","Criminal Damage",270
2008,"E09000031","Waltham Forest","Drugs",158
2008,"E09000031","Waltham Forest","Fraud or Forgery",29
2008,"E09000031","Waltham Forest","Other Notifiable Offences",24
2008,"E09000031","Waltham Forest","Robbery",103
2008,"E09000031","Waltham Forest","Sexual Offences",3
2008,"E09000031","Waltham Forest","Theft and Handling",567
2008,"E09000031","Waltham Forest","Violence Against the Person",440
2008,"E09000032","Wandsworth","Burglary",238
2008,"E09000032","Wandsworth","Criminal Damage",233
2008,"E09000032","Wandsworth","Drugs",101
2008,"E09000032","Wandsworth","Fraud or Forgery",12
2008,"E09000032","Wandsworth","Other Notifiable Offences",18
2008,"E09000032","Wandsworth","Robbery",52
2008,"E09000032","Wandsworth","Sexual Offences",2
2008,"E09000032","Wandsworth","Theft and Handling",762
2008,"E09000032","Wandsworth","Violence Against the Person",411
2008,"E09000033","Westminster","Burglary",183
2008,"E09000033","Westminster","Criminal Damage",192
2008,"E09000033","Westminster","Drugs",414
2008,"E09000033","Westminster","Fraud or Forgery",43
2008,"E09000033","Westminster","Other Notifiable Offences",22
2008,"E09000033","Westminster","Robbery",97
2008,"E09000033","Westminster","Sexual Offences",3
2008,"E09000033","Westminster","Theft and Handling",1597
2008,"E09000033","Westminster","Violence Against the Person",489
2009,"E09000001","City of London","Burglary",0
2009,"E09000001","City of London","Criminal Damage",0
2009,"E09000001","City of London","Drugs",0
2009,"E09000001","City of London","Other Notifiable Offences",0
2009,"E09000001","City of London","Robbery",0
2009,"E09000001","City of London","Theft and Handling",0
2009,"E09000001","City of London","Violence Against the Person",0
2009,"E09000002","Barking and Dagenham","Burglary",189
2009,"E09000002","Barking and Dagenham","Criminal Damage",207
2009,"E09000002","Barking and Dagenham","Drugs",69
2009,"E09000002","Barking and Dagenham","Fraud or Forgery",0
2009,"E09000002","Barking and Dagenham","Other Notifiable Offences",36
2009,"E09000002","Barking and Dagenham","Robbery",62
2009,"E09000002","Barking and Dagenham","Sexual Offences",0
2009,"E09000002","Barking and Dagenham","Theft and Handling",387
2009,"E09000002","Barking and Dagenham","Violence Against the Person",389
2009,"E09000003","Barnet","Burglary",314
2009,"E09000003","Barnet","Criminal Damage",212
2009,"E09000003","Barnet","Drugs",113
2009,"E09000003","Barnet","Fraud or Forgery",0
2009,"E09000003","Barnet","Other Notifiable Offences",23
2009,"E09000003","Barnet","Robbery",55
2009,"E09000003","Barnet","Sexual Offences",0
2009,"E09000003","Barnet","Theft and Handling",806
2009,"E09000003","Barnet","Violence Against the Person",373
2009,"E09000004","Bexley","Burglary",146
2009,"E09000004","Bexley","Criminal Damage",225
2009,"E09000004","Bexley","Drugs",41
2009,"E09000004","Bexley","Fraud or Forgery",0
2009,"E09000004","Bexley","Other Notifiable Offences",14
2009,"E09000004","Bexley","Robbery",25
2009,"E09000004","Bexley","Sexual Offences",0
2009,"E09000004","Bexley","Theft and Handling",331
2009,"E09000004","Bexley","Violence Against the Person",319
2009,"E09000005","Brent","Burglary",276
2009,"E09000005","Brent","Criminal Damage",195
2009,"E09000005","Brent","Drugs",162
2009,"E09000005","Brent","Fraud or Forgery",0
2009,"E09000005","Brent","Other Notifiable Offences",18
2009,"E09000005","Brent","Robbery",119
2009,"E09000005","Brent","Sexual Offences",0
2009,"E09000005","Brent","Theft and Handling",615
2009,"E09000005","Brent","Violence Against the Person",475
2009,"E09000006","Bromley","Burglary",269
2009,"E09000006","Bromley","Criminal Damage",253
2009,"E09000006","Bromley","Drugs",89
2009,"E09000006","Bromley","Fraud or Forgery",0
2009,"E09000006","Bromley","Other Notifiable Offences",18
2009,"E09000006","Bromley","Robbery",58
2009,"E09000006","Bromley","Sexual Offences",0
2009,"E09000006","Bromley","Theft and Handling",577
2009,"E09000006","Bromley","Violence Against the Person",430
2009,"E09000007","Camden","Burglary",263
2009,"E09000007","Camden","Criminal Damage",180
2009,"E09000007","Camden","Drugs",249
2009,"E09000007","Camden","Fraud or Forgery",0
2009,"E09000007","Camden","Other Notifiable Offences",36
2009,"E09000007","Camden","Robbery",104
2009,"E09000007","Camden","Sexual Offences",0
2009,"E09000007","Camden","Theft and Handling",1116
2009,"E09000007","Camden","Violence Against the Person",440
2009,"E09000008","Croydon","Burglary",299
2009,"E09000008","Croydon","Criminal Damage",262
2009,"E09000008","Croydon","Drugs",214
2009,"E09000008","Croydon","Fraud or Forgery",0
2009,"E09000008","Croydon","Other Notifiable Offences",24
2009,"E09000008","Croydon","Robbery",118
2009,"E09000008","Croydon","Sexual Offences",0
2009,"E09000008","Croydon","Theft and Handling",880
2009,"E09000008","Croydon","Violence Against the Person",486
2009,"E09000009","Ealing","Burglary",300
2009,"E09000009","Ealing","Criminal Damage",265
2009,"E09000009","Ealing","Drugs",211
2009,"E09000009","Ealing","Fraud or Forgery",0
2009,"E09000009","Ealing","Other Notifiable Offences",30
2009,"E09000009","Ealing","Robbery",121
2009,"E09000009","Ealing","Sexual Offences",0
2009,"E09000009","Ealing","Theft and Handling",838
2009,"E09000009","Ealing","Violence Against the Person",569
2009,"E09000010","Enfield","Burglary",331
2009,"E09000010","Enfield","Criminal Damage",263
2009,"E09000010","Enfield","Drugs",144
2009,"E09000010","Enfield","Fraud or Forgery",0
2009,"E09000010","Enfield","Other Notifiable Offences",27
2009,"E09000010","Enfield","Robbery",93
2009,"E09000010","Enfield","Sexual Offences",0
2009,"E09000010","Enfield","Theft and Handling",550
2009,"E09000010","Enfield","Violence Against the Person",325
2009,"E09000011","Greenwich","Burglary",275
2009,"E09000011","Greenwich","Criminal Damage",248
2009,"E09000011","Greenwich","Drugs",65
2009,"E09000011","Greenwich","Fraud or Forgery",0
2009,"E09000011","Greenwich","Other Notifiable Offences",30
2009,"E09000011","Greenwich","Robbery",69
2009,"E09000011","Greenwich","Sexual Offences",0
2009,"E09000011","Greenwich","Theft and Handling",449
2009,"E09000011","Greenwich","Violence Against the Person",412
2009,"E09000012","Hackney","Burglary",159
2009,"E09000012","Hackney","Criminal Damage",128
2009,"E09000012","Hackney","Drugs",185
2009,"E09000012","Hackney","Fraud or Forgery",0
2009,"E09000012","Hackney","Other Notifiable Offences",28
2009,"E09000012","Hackney","Robbery",58
2009,"E09000012","Hackney","Sexual Offences",0
2009,"E09000012","Hackney","Theft and Handling",526
2009,"E09000012","Hackney","Violence Against the Person",419
2009,"E09000013","Hammersmith and Fulham","Burglary",121
2009,"E09000013","Hammersmith and Fulham","Criminal Damage",164
2009,"E09000013","Hammersmith and Fulham","Drugs",159
2009,"E09000013","Hammersmith and Fulham","Fraud or Forgery",0
2009,"E09000013","Hammersmith and Fulham","Other Notifiable Offences",25
2009,"E09000013","Hammersmith and Fulham","Robbery",52
2009,"E09000013","Hammersmith and Fulham","Sexual Offences",0
2009,"E09000013","Hammersmith and Fulham","Theft and Handling",784
2009,"E09000013","Hammersmith and Fulham","Violence Against the Person",305
2009,"E09000014","Haringey","Burglary",289
2009,"E09000014","Haringey","Criminal Damage",204
2009,"E09000014","Haringey","Drugs",177
2009,"E09000014","Haringey","Fraud or Forgery",0
2009,"E09000014","Haringey","Other Notifiable Offences",27
2009,"E09000014","Haringey","Robbery",97
2009,"E09000014","Haringey","Sexual Offences",0
2009,"E09000014","Haringey","Theft and Handling",719
2009,"E09000014","Haringey","Violence Against the Person",359
2009,"E09000015","Harrow","Burglary",166
2009,"E09000015","Harrow","Criminal Damage",143
2009,"E09000015","Harrow","Drugs",72
2009,"E09000015","Harrow","Fraud or Forgery",0
2009,"E09000015","Harrow","Other Notifiable Offences",17
2009,"E09000015","Harrow","Robbery",26
2009,"E09000015","Harrow","Sexual Offences",0
2009,"E09000015","Harrow","Theft and Handling",350
2009,"E09000015","Harrow","Violence Against the Person",298
2009,"E09000016","Havering","Burglary",222
2009,"E09000016","Havering","Criminal Damage",172
2009,"E09000016","Havering","Drugs",71
2009,"E09000016","Havering","Fraud or Forgery",0
2009,"E09000016","Havering","Other Notifiable Offences",12
2009,"E09000016","Havering","Robbery",26
2009,"E09000016","Havering","Sexual Offences",0
2009,"E09000016","Havering","Theft and Handling",452
2009,"E09000016","Havering","Violence Against the Person",236
2009,"E09000017","Hillingdon","Burglary",251
2009,"E09000017","Hillingdon","Criminal Damage",283
2009,"E09000017","Hillingdon","Drugs",87
2009,"E09000017","Hillingdon","Fraud or Forgery",0
2009,"E09000017","Hillingdon","Other Notifiable Offences",72
2009,"E09000017","Hillingdon","Robbery",58
2009,"E09000017","Hillingdon","Sexual Offences",0
2009,"E09000017","Hillingdon","Theft and Handling",644
2009,"E09000017","Hillingdon","Violence Against the Person",435
2009,"E09000018","Hounslow","Burglary",187
2009,"E09000018","Hounslow","Criminal Damage",231
2009,"E09000018","Hounslow","Drugs",116
2009,"E09000018","Hounslow","Fraud or Forgery",0
2009,"E09000018","Hounslow","Other Notifiable Offences",16
2009,"E09000018","Hounslow","Robbery",73
2009,"E09000018","Hounslow","Sexual Offences",0
2009,"E09000018","Hounslow","Theft and Handling",487
2009,"E09000018","Hounslow","Violence Against the Person",430
2009,"E09000019","Islington","Burglary",224
2009,"E09000019","Islington","Criminal Damage",146
2009,"E09000019","Islington","Drugs",168
2009,"E09000019","Islington","Fraud or Forgery",0
2009,"E09000019","Islington","Other Notifiable Offences",27
2009,"E09000019","Islington","Robbery",67
2009,"E09000019","Islington","Sexual Offences",0
2009,"E09000019","Islington","Theft and Handling",1027
2009,"E09000019","Islington","Violence Against the Person",439
2009,"E09000020","Kensington and Chelsea","Burglary",120
2009,"E09000020","Kensington and Chelsea","Criminal Damage",100
2009,"E09000020","Kensington and Chelsea","Drugs",154
2009,"E09000020","Kensington and Chelsea","Fraud or Forgery",0
2009,"E09000020","Kensington and Chelsea","Other Notifiable Offences",24
2009,"E09000020","Kensington and Chelsea","Robbery",45
2009,"E09000020","Kensington and Chelsea","Sexual Offences",0
2009,"E09000020","Kensington and Chelsea","Theft and Handling",893
2009,"E09000020","Kensington and Chelsea","Violence Against the Person",203
2009,"E09000021","Kingston upon Thames","Burglary",88
2009,"E09000021","Kingston upon Thames","Criminal Damage",111
2009,"E09000021","Kingston upon Thames","Drugs",40
2009,"E09000021","Kingston upon Thames","Fraud or Forgery",0
2009,"E09000021","Kingston upon Thames","Other Notifiable Offences",5
2009,"E09000021","Kingston upon Thames","Robbery",28
2009,"E09000021","Kingston upon Thames","Sexual Offences",0
2009,"E09000021","Kingston upon Thames","Theft and Handling",451
2009,"E09000021","Kingston upon Thames","Violence Against the Person",145
2009,"E09000022","Lambeth","Burglary",325
2009,"E09000022","Lambeth","Criminal Damage",238
2009,"E09000022","Lambeth","Drugs",189
2009,"E09000022","Lambeth","Fraud or Forgery",0
2009,"E09000022","Lambeth","Other Notifiable Offences",35
2009,"E09000022","Lambeth","Robbery",159
2009,"E09000022","Lambeth","Sexual Offences",0
2009,"E09000022","Lambeth","Theft and Handling",783
2009,"E09000022","Lambeth","Violence Against the Person",554
2009,"E09000023","Lewisham","Burglary",209
2009,"E09000023","Lewisham","Criminal Damage",283
2009,"E09000023","Lewisham","Drugs",265
2009,"E09000023","Lewisham","Fraud or Forgery",0
2009,"E09000023","Lewisham","Other Notifiable Offences",32
2009,"E09000023","Lewisham","Robbery",70
2009,"E09000023","Lewisham","Sexual Offences",0
2009,"E09000023","Lewisham","Theft and Handling",584
2009,"E09000023","Lewisham","Violence Against the Person",565
2009,"E09000024","Merton","Burglary",132
2009,"E09000024","Merton","Criminal Damage",153
2009,"E09000024","Merton","Drugs",86
2009,"E09000024","Merton","Fraud or Forgery",0
2009,"E09000024","Merton","Other Notifiable Offences",19
2009,"E09000024","Merton","Robbery",31
2009,"E09000024","Merton","Sexual Offences",0
2009,"E09000024","Merton","Theft and Handling",332
2009,"E09000024","Merton","Violence Against the Person",270
2009,"E09000025","Newham","Burglary",226
2009,"E09000025","Newham","Criminal Damage",284
2009,"E09000025","Newham","Drugs",181
2009,"E09000025","Newham","Fraud or Forgery",0
2009,"E09000025","Newham","Other Notifiable Offences",34
2009,"E09000025","Newham","Robbery",149
2009,"E09000025","Newham","Sexual Offences",0
2009,"E09000025","Newham","Theft and Handling",726
2009,"E09000025","Newham","Violence Against the Person",583
2009,"E09000026","Redbridge","Burglary",240
2009,"E09000026","Redbridge","Criminal Damage",168
2009,"E09000026","Redbridge","Drugs",171
2009,"E09000026","Redbridge","Fraud or Forgery",0
2009,"E09000026","Redbridge","Other Notifiable Offences",27
2009,"E09000026","Redbridge","Robbery",67
2009,"E09000026","Redbridge","Sexual Offences",0
2009,"E09000026","Redbridge","Theft and Handling",611
2009,"E09000026","Redbridge","Violence Against the Person",323
2009,"E09000027","Richmond upon Thames","Burglary",122
2009,"E09000027","Richmond upon Thames","Criminal Damage",112
2009,"E09000027","Richmond upon Thames","Drugs",55
2009,"E09000027","Richmond upon Thames","Fraud or Forgery",0
2009,"E09000027","Richmond upon Thames","Other Notifiable Offences",3
2009,"E09000027","Richmond upon Thames","Robbery",8
2009,"E09000027","Richmond upon Thames","Sexual Offences",0
2009,"E09000027","Richmond upon Thames","Theft and Handling",300
2009,"E09000027","Richmond upon Thames","Violence Against the Person",146
2009,"E09000028","Southwark","Burglary",219
2009,"E09000028","Southwark","Criminal Damage",261
2009,"E09000028","Southwark","Drugs",257
2009,"E09000028","Southwark","Fraud or Forgery",0
2009,"E09000028","Southwark","Other Notifiable Offences",61
2009,"E09000028","Southwark","Robbery",118
2009,"E09000028","Southwark","Sexual Offences",0
2009,"E09000028","Southwark","Theft and Handling",756
2009,"E09000028","Southwark","Violence Against the Person",648
2009,"E09000029","Sutton","Burglary",123
2009,"E09000029","Sutton","Criminal Damage",133
2009,"E09000029","Sutton","Drugs",35
2009,"E09000029","Sutton","Fraud or Forgery",0
2009,"E09000029","Sutton","Other Notifiable Offences",15
2009,"E09000029","Sutton","Robbery",25
2009,"E09000029","Sutton","Sexual Offences",0
2009,"E09000029","Sutton","Theft and Handling",442
2009,"E09000029","Sutton","Violence Against the Person",200
2009,"E09000030","Tower Hamlets","Burglary",120
2009,"E09000030","Tower Hamlets","Criminal Damage",192
2009,"E09000030","Tower Hamlets","Drugs",172
2009,"E09000030","Tower Hamlets","Fraud or Forgery",0
2009,"E09000030","Tower Hamlets","Other Notifiable Offences",30
2009,"E09000030","Tower Hamlets","Robbery",53
2009,"E09000030","Tower Hamlets","Sexual Offences",0
2009,"E09000030","Tower Hamlets","Theft and Handling",614
2009,"E09000030","Tower Hamlets","Violence Against the Person",386
